match_id,innings,batting_team,over_ball,bowler,batsman,run,extra_type,extra_run,is_wicket,is_boundary,is_dot_ball,commentary
23684171,2,Royal Cricket Blasters (RCB),7.2,Lokesh kumar YC,Kranthi 202 Midtown Raaga,0,,0,1,0,1,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, OUT Caught out, Caught by Pabitra"
23684171,2,Royal Cricket Blasters (RCB),7.2,Lokesh kumar YC,Kranthi 202 Midtown Raaga,0,WD,0,0,0,0,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, wide"
23684171,2,Royal Cricket Blasters (RCB),7.1,Lokesh kumar YC,Kranthi 202 Midtown Raaga,2,,0,0,0,0,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, 2 runs"
23684171,2,Royal Cricket Blasters (RCB),7.0,Srikanta Maddara,Manjunath H,0,,0,0,0,1,"Srikanta Maddara to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),6.5,Srikanta Maddara,Manjunath H,0,,0,0,0,1,"Srikanta Maddara to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),6.4,Srikanta Maddara,Manjunath H,0,,0,0,0,1,"Srikanta Maddara to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),6.3,Srikanta Maddara,Manjunath H,0,,0,0,0,1,"Srikanta Maddara to Manjunath H, no run"
23684171,2,Royal Cricket Blasters (RCB),6.2,Srikanta Maddara,Manjunath H,4,,0,0,1,0,"Srikanta Maddara to Manjunath H, FOUR"
23684171,2,Royal Cricket Blasters (RCB),6.1,Srikanta Maddara,Kranthi 202 Midtown Raaga,1,,0,0,0,0,"Srikanta Maddara to Kranthi 202 Midtown Raaga, 1 run"
23684171,2,Royal Cricket Blasters (RCB),6.0,Lokesh kumar YC,Kranthi 202 Midtown Raaga,1,,0,0,0,0,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, 1 run"
23684171,2,Royal Cricket Blasters (RCB),6.0,Lokesh kumar YC,Kranthi 202 Midtown Raaga,0,WD,0,0,0,0,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, wide"
23684171,2,Royal Cricket Blasters (RCB),5.5,Lokesh kumar YC,Kranthi 202 Midtown Raaga,0,,0,0,0,1,"Lokesh kumar YC to Kranthi 202 Midtown Raaga, no run"
23684171,2,Royal Cricket Blasters (RCB),5.4,Lokesh kumar YC,Vinay KS,0,,0,1,0,1,"Lokesh kumar YC to Vinay KS, OUT Bowled"
